load,apparent_temperature,temperature,humidity,dew_point,wind_speed,cloud_cover,hour,day,month,dayofweek,is_weekend
2025.9678,31.458,31.458,0.441,16.569,0.1365,0.462,0,16,5,3,0
1973.7107,31.371375,31.371375,0.443625,16.55325,0.168,0.462,0,16,5,3,0
1952.2169,31.28475,31.28475,0.44625,16.5375,0.1995,0.462,0,16,5,3,0
1952.2169,31.198125,31.198125,0.448875,16.52175,0.231,0.462,0,16,5,3,0
1884.1617,31.1115,31.1115,0.4515,16.506,0.2625,0.462,1,16,5,3,0
1885.5612,31.219125,31.145625,0.45675,16.7475,0.29925,0.462,1,16,5,3,0
1894.9697,31.32675,31.17975,0.462,16.989,0.336,0.462,1,16,5,3,0
1897.3314,31.434375,31.213875,0.46725,17.2305,0.37275,0.462,1,16,5,3,0
1935.5742,31.542,31.248,0.4725,17.472,0.4095,0.462,2,16,5,3,0
1970.9275,31.6575,31.2585,0.480375,17.72925,0.4095,0.462,2,16,5,3,0
1967.1902,31.773,31.269,0.48825,17.9865,0.4095,0.462,2,16,5,3,0
1980.0807,31.8885,31.2795,0.496125,18.24375,0.4095,0.462,2,16,5,3,0
1963.4565,32.004,31.29,0.504,18.501,0.4095,0.462,3,16,5,3,0
1951.7126,31.9725,31.255875,0.506625,18.50625,0.37275,0.462,3,16,5,3,0
1951.7126,31.941,31.22175,0.50925,18.5115,0.336,0.462,3,16,5,3,0
1949.351,31.9095,31.187625,0.511875,18.51675,0.29925,0.462,3,16,5,3,0
1913.251,31.878,31.1535,0.5145,18.522,0.2625,0.462,4,16,5,3,0
1872.4968,31.628625,30.891,0.522375,18.535125,1.152375,0.462,4,16,5,3,0
1792.8649,31.37925,30.6285,0.53025,18.54825,2.04225,0.462,4,16,5,3,0
1783.5632,31.129875,30.366,0.538125,18.561375,2.932125,0.462,4,16,5,3,0
1744.3104,30.8805,30.1035,0.546,18.5745,3.822,0.462,5,16,5,3,0
1764.9952,30.597,29.791125,0.5565,18.598125,4.475625,0.501375,5,16,5,3,0
1726.2865,30.3135,29.47875,0.567,18.62175,5.12925,0.54075,5,16,5,3,0
1677.8899,30.03,29.166375,0.5775,18.645375,5.782875,0.580125,5,16,5,3,0
1589.9001,29.7465,28.854,0.588,18.669,6.4365,0.6195,6,16,5,3,0
1592.0355,29.5365,28.604625,0.5985,18.7845,5.882625,0.679875,6,16,5,3,0
1598.684,29.3265,28.35525,0.609,18.9,5.32875,0.74025,6,16,5,3,0
1633.0393,29.1165,28.105875,0.6195,19.0155,4.774875,0.800625,6,16,5,3,0
1511.0184,28.9065,27.8565,0.63,19.131,4.221,0.861,7,16,5,3,0
1465.9297,28.4025,27.51525,0.653625,19.36725,3.698625,0.87675,7,16,5,3,0
1514.7491,27.8985,27.174,0.67725,19.6035,3.17625,0.8925,7,16,5,3,0
1503.4512,27.3945,26.83275,0.700875,19.83975,2.653875,0.90825,7,16,5,3,0
1458.1687,26.8905,26.4915,0.7245,20.076,2.1315,0.924,8,16,5,3,0
1474.999,26.919375,26.504625,0.72975,20.215125,1.766625,0.90825,8,16,5,3,0
1481.9204,26.94825,26.51775,0.735,20.35425,1.40175,0.8925,8,16,5,3,0
1484.3394,26.977125,26.530875,0.74025,20.493375,1.036875,0.87675,8,16,5,3,0
1546.1237,27.006,26.544,0.7455,20.6325,0.672,0.861,9,16,5,3,0
1604.5344,27.911625,27.171375,0.721875,20.650875,0.56175,0.82425,9,16,5,3,0
1656.3265,28.81725,27.79875,0.69825,20.66925,0.4515,0.7875,9,16,5,3,0
1632.2665,29.722875,28.426125,0.674625,20.687625,0.34125,0.75075,9,16,5,3,0
1698.9231,30.6285,29.0535,0.651,20.706,0.231,0.714,10,16,5,3,0
1711.6426,31.31625,29.738625,0.62475,20.587875,0.4095,0.693,10,16,5,3,0
1733.8762,32.004,30.42375,0.5985,20.46975,0.588,0.672,10,16,5,3,0
1747.2571,32.69175,31.108875,0.57225,20.351625,0.7665,0.651,10,16,5,3,0
1736.2493,33.3795,31.794,0.546,20.2335,0.945,0.63,11,16,5,3,0
1708.5339,33.8205,32.34,0.522375,19.973625,1.21275,0.63,11,16,5,3,0
1713.2339,34.2615,32.886,0.49875,19.71375,1.4805,0.63,11,16,5,3,0
1713.679,34.7025,33.432,0.475125,19.453875,1.74825,0.63,11,16,5,3,0
1705.5927,35.1435,33.978,0.4515,19.194,2.016,0.63,12,16,5,3,0
1710.3652,35.3325,34.3455,0.433125,18.80025,2.23125,0.609,12,16,5,3,0
1708.5833,35.5215,34.713,0.41475,18.4065,2.4465,0.588,12,16,5,3,0
1701.2399,35.7105,35.0805,0.396375,18.01275,2.66175,0.567,12,16,5,3,0
1685.0883,35.8995,35.448,0.378,17.619,2.877,0.546,13,16,5,3,0
1685.0883,35.9835,35.534625,0.378,17.5875,2.94,0.543375,13,16,5,3,0
1689.9556,36.0675,35.62125,0.378,17.556,3.003,0.54075,13,16,5,3,0
1699.0288,36.1515,35.707875,0.378,17.5245,3.066,0.538125,13,16,5,3,0
1703.7637,36.2355,35.7945,0.378,17.493,3.129,0.5355,14,16,5,3,0
1703.039,36.3405,35.69475,0.3885,17.889375,3.094875,0.553875,14,16,5,3,0
1708.9641,36.4455,35.595,0.399,18.28575,3.06075,0.57225,14,16,5,3,0
1699.8909,36.5505,35.49525,0.4095,18.682125,3.026625,0.590625,14,16,5,3,0
1695.0236,36.6555,35.3955,0.42,19.0785,2.9925,0.609,15,16,5,3,0
1710.2764,36.60825,35.30625,0.42525,19.16775,3.173625,0.609,15,16,5,3,0
1710.2689,36.561,35.217,0.4305,19.257,3.35475,0.609,15,16,5,3,0
1710.2689,36.51375,35.12775,0.43575,19.34625,3.535875,0.609,15,16,5,3,0
1709.6443,36.4665,35.0385,0.441,19.4355,3.717,0.609,16,16,5,3,0
1709.6443,36.558375,35.041125,0.443625,19.56675,3.71175,0.590625,16,16,5,3,0
1709.6443,36.65025,35.04375,0.44625,19.698,3.7065,0.57225,16,16,5,3,0
1728.2443,36.742125,35.046375,0.448875,19.82925,3.70125,0.553875,16,16,5,3,0
1725.5372,36.834,35.049,0.4515,19.9605,3.696,0.5355,17,16,5,3,0
1740.9519,36.77625,34.88625,0.459375,20.152125,3.604125,0.49875,17,16,5,3,0
1802.726,36.7185,34.7235,0.46725,20.34375,3.51225,0.462,17,16,5,3,0
1754.2701,36.66075,34.56075,0.475125,20.535375,3.420375,0.42525,17,16,5,3,0
1772.7119,36.603,34.398,0.483,20.727,3.3285,0.3885,18,16,5,3,0
1770.3058,36.505875,34.36125,0.483,20.645625,3.231375,0.357,18,16,5,3,0
1769.001,36.40875,34.3245,0.483,20.56425,3.13425,0.3255,18,16,5,3,0
1769.001,36.311625,34.28775,0.483,20.482875,3.037125,0.294,18,16,5,3,0
1794.8174,36.2145,34.251,0.483,20.4015,2.94,0.2625,19,16,5,3,0
1773.8561,35.833875,34.306125,0.462,19.616625,2.919,0.24675,19,16,5,3,0
1768.8699,35.45325,34.36125,0.441,18.83175,2.898,0.231,19,16,5,3,0
1753.7046,35.072625,34.416375,0.42,18.046875,2.877,0.21525,19,16,5,3,0
1815.4838,34.692,34.4715,0.399,17.262,2.856,0.1995,20,16,5,3,0
1794.8898,34.626375,34.461,0.38325,16.56375,2.659125,0.1995,20,16,5,3,0
1764.3207,34.56075,34.4505,0.3675,15.8655,2.46225,0.1995,20,16,5,3,0
1751.0524,34.495125,34.44,0.35175,15.16725,2.265375,0.1995,20,16,5,3,0
1917.399,34.4295,34.4295,0.336,14.469,2.0685,0.1995,21,16,5,3,0
1917.399,34.3455,34.3455,0.338625,14.497875,1.764,0.1785,21,16,5,3,0
1917.399,34.2615,34.2615,0.34125,14.52675,1.4595,0.1575,21,16,5,3,0
1897.2596,34.1775,34.1775,0.343875,14.555625,1.155,0.1365,21,16,5,3,0
2175.025,34.0935,34.0935,0.3465,14.5845,0.8505,0.1155,22,16,5,3,0
2162.826,33.90975,33.90975,0.349125,14.6055,0.65625,0.0945,22,16,5,3,0
